cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date
442,0,17,0,8,0,52,0,0,0,0,0,0,0,11,1,327,2,2,0,59,0,0,0,31,0,0,0,6,0,0,2,437,0,2,2,0,0,0,1,2,1,32,0,66,1,5,0,363,ConfusionMatrix_CART_2018-04-18.csv,CART,2018-04-18
343,0,4,0,0,0,4,0,6,0,0,0,0,0,1,0,335,0,8,0,3,6,0,0,317,0,0,0,0,0,0,0,310,0,1,24,11,39,13,122,49,79,5,0,14,0,0,0,306,ConfusionMatrix_Cons_2018-04-18.csv,Cons,2018-04-18
483,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,391,0,2,0,9,0,0,0,31,0,0,0,0,0,0,2,443,0,2,1,0,0,0,2,1,2,25,0,60,0,0,0,382,ConfusionMatrix_GBT_2018-04-18.csv,GBT,2018-04-18
474,0,19,0,0,0,26,0,0,0,0,0,0,0,7,0,359,0,2,0,34,2,0,0,29,0,0,0,21,0,7,0,409,0,10,1,0,0,0,2,0,3,30,0,90,0,0,0,347,ConfusionMatrix_KNN_2018-04-18.csv,KNN,2018-04-18
471,0,23,0,0,0,25,0,0,0,0,0,0,0,0,1,389,0,1,0,11,0,0,0,31,0,0,0,0,0,0,2,443,0,2,1,0,0,0,3,1,1,26,0,71,0,0,0,370,ConfusionMatrix_RF_2018-04-18.csv,RF,2018-04-18
177,0,51,0,4,0,287,0,0,0,0,0,0,0,8,1,342,0,1,0,50,0,0,0,31,0,0,0,2,0,0,0,441,2,2,1,0,0,0,1,4,0,26,0,114,5,4,3,315,ConfusionMatrix_SVM_2018-04-18.csv,SVM,2018-04-18
453,0,27,4,4,4,19,0,5,1,0,1,0,0,17,0,285,0,8,0,47,4,0,2,59,0,1,5,4,0,2,0,115,0,0,1,0,1,0,0,6,0,24,0,54,4,0,0,359,ConfusionMatrix_CART_2018-04-23.csv,CART,2018-04-23
327,0,8,0,0,0,1,0,146,0,0,0,0,0,9,0,336,0,3,2,4,4,0,1,353,0,0,2,0,0,0,0,120,0,0,32,44,55,41,0,115,45,12,0,18,2,3,0,317,ConfusionMatrix_Cons_2018-04-23.csv,Cons,2018-04-23
472,0,28,2,0,0,9,0,6,1,0,0,0,0,6,0,330,0,7,0,14,2,0,2,63,0,0,4,0,0,2,0,119,0,0,1,0,1,1,0,5,0,10,0,39,3,0,0,389,ConfusionMatrix_GBT_2018-04-23.csv,GBT,2018-04-23
442,0,36,4,4,0,25,0,3,0,0,3,0,1,11,0,300,0,15,0,31,6,0,4,59,0,0,2,18,0,1,0,90,0,12,1,0,4,0,1,2,0,11,0,45,4,0,0,381,ConfusionMatrix_KNN_2018-04-23.csv,KNN,2018-04-23
461,0,35,4,0,0,11,0,6,0,0,1,0,0,2,1,324,0,11,0,19,3,0,4,62,0,0,2,4,0,0,0,117,0,0,1,0,1,0,0,6,0,14,0,47,2,0,0,378,ConfusionMatrix_RF_2018-04-23.csv,RF,2018-04-23
339,2,46,2,66,0,56,0,5,2,0,0,0,0,86,1,209,1,15,0,45,2,0,0,66,0,0,3,12,0,9,1,97,0,2,0,0,0,2,0,5,1,94,0,119,9,18,0,201,ConfusionMatrix_SVM_2018-04-23.csv,SVM,2018-04-23
436,0,8,2,12,1,27,0,4,0,0,0,0,0,11,0,257,1,1,0,69,0,0,0,36,0,0,1,8,0,5,0,456,0,0,1,0,0,0,2,1,0,13,0,53,0,0,1,404,ConfusionMatrix_CART_2018-05-03.csv,CART,2018-05-03
294,0,2,0,0,0,0,0,66,0,0,3,0,0,3,2,273,1,11,1,37,8,0,2,325,0,0,4,1,0,0,0,320,0,1,69,17,54,13,116,57,6,1,0,10,0,0,0,303,ConfusionMatrix_Cons_2018-05-03.csv,Cons,2018-05-03
476,0,5,0,0,0,5,0,4,0,0,0,0,0,2,0,300,0,3,0,34,0,0,0,37,0,0,0,3,0,0,0,466,0,0,1,0,0,0,1,2,0,5,0,38,0,0,0,428,ConfusionMatrix_GBT_2018-05-03.csv,GBT,2018-05-03
441,0,11,3,7,0,24,0,3,0,0,1,0,0,12,0,281,0,5,0,41,1,0,1,35,0,0,0,17,0,12,3,430,0,7,2,0,0,0,2,0,0,19,0,55,0,1,0,396,ConfusionMatrix_KNN_2018-05-03.csv,KNN,2018-05-03
466,0,6,0,0,0,14,0,4,0,0,0,0,0,1,0,307,0,2,0,29,1,0,0,36,0,0,0,7,0,0,0,460,0,2,1,0,0,0,2,1,0,15,0,42,0,0,0,414,ConfusionMatrix_RF_2018-05-03.csv,RF,2018-05-03
392,0,20,10,5,0,59,0,3,0,0,1,0,0,45,0,205,0,0,0,89,4,0,0,33,0,0,0,63,2,114,0,275,0,15,1,0,0,0,1,2,0,21,0,64,0,19,0,367,ConfusionMatrix_SVM_2018-05-03.csv,SVM,2018-05-03
442,0,20,0,4,0,41,0,2,0,0,0,0,0,20,0,306,0,15,0,61,0,0,0,47,1,0,0,7,0,9,6,352,0,4,0,0,0,0,1,1,1,35,0,64,0,2,0,395,ConfusionMatrix_CART_2018-05-05.csv,CART,2018-05-05
315,0,6,0,0,0,11,0,64,0,0,4,0,0,1,2,325,0,5,2,13,1,0,0,351,3,0,1,1,0,0,1,233,0,0,50,17,91,13,77,83,5,5,0,12,0,0,0,306,ConfusionMatrix_Cons_2018-05-05.csv,Cons,2018-05-05
453,0,22,0,0,0,32,0,1,0,0,1,0,0,7,0,345,0,8,0,42,0,0,0,47,1,0,0,0,0,0,2,376,0,0,0,0,0,0,0,2,1,23,0,48,0,0,0,425,ConfusionMatrix_GBT_2018-05-05.csv,GBT,2018-05-05
455,0,21,0,0,0,31,0,0,0,0,2,0,0,14,0,317,0,20,0,51,0,0,0,44,4,0,0,21,0,14,2,337,0,4,0,0,1,0,0,1,1,47,0,72,0,1,0,376,ConfusionMatrix_KNN_2018-05-05.csv,KNN,2018-05-05
448,0,21,0,0,0,38,0,1,0,0,1,0,0,5,0,337,0,8,0,52,0,0,0,45,3,0,0,4,0,3,4,365,0,2,0,0,0,0,0,2,1,33,0,57,0,0,0,406,ConfusionMatrix_RF_2018-05-05.csv,RF,2018-05-05
