system:index,system:time_start,.geo
A2002184,1.025739605E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002185,1.025744101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002186,1.0258281E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002187,1.0259166E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002188,1.026000301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002189,1.0260888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002190,1.026172811E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002191,1.026261001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002192,1.0263492E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002193,1.026433201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002194,1.026521701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002195,1.026605401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002196,1.026693901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002197,1.026777601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002198,1.026866101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002199,1.026950401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002200,1.027038301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002201,1.027126501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002202,1.0272105E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002203,1.027299001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002204,1.0273827E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002205,1.0274712E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002206,1.0275552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002207,1.0276434E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002208,1.0277316E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002209,1.027815601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002210,1.0279041E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002218,1.028647025E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002219,1.028681401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002220,1.0287651E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002221,1.0288536E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002222,1.028937601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002223,1.0290258E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002224,1.029114E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002225,1.029198001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002226,1.0292865E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002227,1.029370201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002228,1.029458701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002229,1.029542401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002230,1.029630901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002231,1.029718201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002232,1.029803101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002233,1.029891301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002234,1.029975301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002235,1.030063801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002236,1.0301475E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002237,1.030236001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002238,1.03032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002239,1.0304082E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002240,1.0304955E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002241,1.0305804E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002242,1.030667401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002243,1.030752601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002244,1.0308411E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002245,1.030924801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002246,1.031013301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002247,1.031100601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002248,1.031185501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002249,1.031272501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002250,1.031357701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002251,1.0314447E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002252,1.031529901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002253,1.031616601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002254,1.0317024E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
